merge_artist,total_tracks,avg_popularity,avg_duration_ms,avg_danceability,avg_energy,avg_speechiness,avg_acousticness,avg_instrumentalness,avg_liveness,avg_valence,avg_tempo,top_genre,total_nominations,total_wins,first_award_year,last_award_year,has_award
!nvite,2,23.0,137367.5,0.82,0.52,0.27,0.5,0.01,0.13,0.42,85.0,study,0,0,0,0,0
"""puppy dog pals"" cast",2,57.5,47966.5,0.7,0.86,0.12,0.1,0.0,0.15,0.92,138.04,children,0,0,0,0,0
"""weird al"" yankovic",15,26.33,246778.33,0.66,0.57,0.11,0.25,0.0,0.19,0.74,117.37,comedy,0,0,0,0,0
#kids;nursery rhymes;nursery rhymes and kids songs,1,34.0,104000.0,0.58,0.49,0.05,0.05,0.79,0.11,0.91,149.91,children,0,0,0,0,0
$affie,1,39.0,134506.0,0.74,0.18,0.1,0.81,0.89,0.1,0.23,148.26,study,0,0,0,0,0
$affie;lofi stu,1,43.0,128785.0,0.82,0.25,0.04,0.88,0.87,0.11,0.28,75.0,study,0,0,0,0,0
&me;rampa;adam port;sofie royer,1,50.0,385103.0,0.77,0.48,0.06,0.0,0.85,0.09,0.16,120.0,deep-house,0,0,0,0,0
'falsettos' 2016 broadway company,1,30.0,308133.0,0.38,0.31,0.04,0.82,0.0,0.11,0.32,81.59,show-tunes,0,0,0,0,0
'til tuesday,1,28.0,261266.0,0.61,0.64,0.03,0.0,0.0,0.08,0.41,106.64,synth-pop,0,0,0,0,0
(dolch),1,22.0,432133.0,0.41,0.62,0.04,0.0,0.0,0.33,0.27,100.04,black-metal,0,0,0,0,0
(g)i-dle,3,72.0,189190.67,0.64,0.83,0.07,0.03,0.0,0.12,0.45,109.68,k-pop,0,0,0,0,0
(hed) p.e.,17,24.41,222003.65,0.61,0.86,0.16,0.02,0.02,0.33,0.52,121.19,industrial,0,0,0,0,0
(hed) p.e.;lajon witherspoon;sevendust,1,26.0,240266.0,0.37,0.96,0.12,0.0,0.0,0.1,0.61,175.15,industrial,0,0,0,0,0
(hed) p.e.;serj tankian;morgan lander,1,23.0,254026.0,0.68,0.69,0.19,0.0,0.0,0.05,0.75,90.87,industrial,0,0,0,0,0
-m-,7,31.57,227024.43,0.57,0.59,0.09,0.41,0.02,0.37,0.43,103.08,french,0,0,0,0,0
04 limited sazabys,1,32.0,113573.0,0.42,0.99,0.22,0.0,0.15,0.22,0.06,112.64,j-rock,0,0,0,0,0
1 trait danger,1,21.0,204000.0,0.69,0.68,0.43,0.07,0.0,0.18,0.69,159.9,comedy,0,0,0,0,0
10 years,4,43.5,216786.5,0.43,0.81,0.05,0.01,0.0,0.22,0.32,155.64,grunge,0,0,0,0,0
10-feet,2,33.33,138226.33,0.5,0.98,0.09,0.05,0.0,0.16,0.64,118.79,j-rock,0,0,0,0,0
10-feet;yabai t-shirts yasan,1,33.0,192760.0,0.36,0.99,0.14,0.0,0.0,0.41,0.32,195.03,j-rock,0,0,0,0,0
100 blaze,1,0.0,156653.0,0.77,0.46,0.44,0.12,0.0,0.14,0.61,148.06,french,0,0,0,0,0
100 blaze;lacrim,1,0.0,235538.0,0.78,0.91,0.35,0.18,0.0,0.11,0.49,139.98,french,0,0,0,0,0
1019;lucio101;omar101;nizi19;karamel19,1,38.0,126757.0,0.72,0.5,0.34,0.05,0.0,0.3,0.42,125.98,german,0,0,0,0,0
102 boyz;chapo102;stacks102;skoob102,1,39.0,190133.0,0.73,0.62,0.28,0.03,0.0,0.11,0.36,79.98,german,0,0,0,0,0
102 boyz;the cratez;chapo102;skoob102;stacks102,1,37.0,159811.0,0.82,0.67,0.15,0.03,0.0,0.07,0.65,75.03,german,0,0,0,0,0
10cc,4,14.0,292379.0,0.55,0.54,0.07,0.28,0.0,0.24,0.63,138.33,blues,0,0,0,0,0
10cm,1,61.0,237266.0,0.36,0.47,0.03,0.74,0.0,0.1,0.26,84.37,indie-pop,0,0,0,0,0
110,1,41.0,248667.0,0.59,0.62,0.03,0.01,0.2,0.32,0.37,85.99,turkish,0,0,0,0,0
12 stones,6,54.89,206337.22,0.33,0.87,0.07,0.11,0.0,0.31,0.4,134.52,grunge,0,0,0,0,0
1200 micrograms,3,35.67,451769.67,0.58,0.93,0.06,0.0,0.68,0.42,0.29,145.34,trance,0,0,0,0,0
1280 almas,1,37.0,277280.0,0.59,0.72,0.03,0.01,0.0,0.11,0.78,109.94,punk-rock,0,0,0,0,0
12am,1,47.0,162858.0,0.59,0.78,0.04,0.15,0.0,0.46,0.18,84.0,soul,0,0,0,0,0
12th planet,1,45.0,135200.0,0.52,0.97,0.51,0.0,0.02,0.12,0.06,75.03,dub,0,0,0,0,0
12th planet;bandlez;barely alive;chibs;dirtyphonics;disciple;dodge & fuski;eliminate;fox stevenson;infekt;modestep;mvrda;myro;oliverse;phaseone;samplifire;terravita;virus syndicate;virtual riot,1,47.0,298400.0,0.59,0.94,0.16,0.0,0.0,0.41,0.34,150.1,dub,0,0,0,0,0
12th planet;katie sky,1,41.0,172800.0,0.53,0.94,0.05,0.03,0.0,0.19,0.12,150.0,dubstep,0,0,0,0,0
